condition,genotype,count
16,MI_30,1
16,MI_34,3
16,NY_06,3
16,NY_18,4
16,NY_30,6
16,NY_56,10
16,NY_63,5
16,NY_64,5
16,NY_65,8
20,NY_06,2
20,NY_09,11
20,NY_18,7
20,NY_30,7
20,NY_56,15
20,NY_63,25
20,NY_64,6
20,NY_65,13
30,MI_30,2
30,MI_31,1
30,MI_36,1
30,NY_06,1
30,NY_09,13
30,NY_30,8
30,NY_56,7
30,NY_63,8
30,NY_64,5
30,NY_65,5
