X,file,dataset,condition,px_cm,genotype,population,location,node,rep_number,base_x,base_y,tip_x,tip_y,rosette_id,PC1,PC2,width,length,area,solidity,asymmetry,circ,ar,PC3,PC4,PC5,PC6,rel_node
0,11.154_15_16_rep3_20240529_0001_lf1.jpg,temp,16,39.37007874,NY_65,11,NYC,1,3,476,128,37.5,122.5,aa,0.13913805564274503,0.07800432290155937,1.7846283080719727,3.6518395342803185,2.8151692317725576,0.707700799230493,0.022171342742781517,0.3645407769889979,0.4886929700276865,0.06710592511537881,0.046601203324149194,-0.09907831927370651,-0.04894820035323315,0.06666666666666667
1,11.154_15_16_rep3_20240529_0001_lf2.jpg,temp,16,39.37007874,NY_65,11,NYC,2,3,473,177,33.5,165.5,aa,0.25701858097723057,-0.004948274021028315,2.241504110308713,3.672272662826015,4.287552588861175,0.8109981913917634,0.01729909893563751,0.5423901106002661,0.6102554228688952,0.15881196268980108,0.022823710713562415,-0.028966310124475616,-0.0013852374211220297,0.13333333333333333
2,11.154_15_16_rep3_20240529_0001_lf3.jpg,temp,16,39.37007874,NY_65,11,NYC,3,3,481,107,38.5,108.5,aa,0.02652759554665273,-0.03298813994027329,1.4018295517775214,3.6622223999804535,2.161527387210583,0.6836055911813886,0.014411251901094237,0.3274461856149043,0.38304099929733987,0.06788978058686683,-0.027303461703045852,-0.07403605183396421,0.012297254053094226,0.2
3,11.154_15_16_rep3_20240529_0001_lf4.jpg,temp,16,39.37007874,NY_65,11,NYC,4,3,475,116,38.5,117.5,aa,0.02785048983244319,-0.07432853013348499,1.143677443704685,3.6384034051007426,2.0834548166057374,0.7251041099430509,0.050306270928174274,0.3090898149472546,0.3166016010409897,0.04844705250009721,0.07397852763816513,-0.02934895439681243,0.001642414204539168,0.26666666666666666
4,11.154_15_16_rep3_20240529_0001_lf5.jpg,temp,16,39.37007874,NY_65,11,NYC,5,3,482,123,32.5,131.5,aa,0.02550028611729234,-0.083373398962338,1.2780081877512737,3.632581151136726,2.1988214581908636,0.733014667168972,0.05939273770222133,0.3448247651699253,0.3520160979400486,0.07179787777777753,0.06261662827825995,-0.03990923084550916,0.02054199331323863,0.3333333333333333
5,11.154_15_16_rep3_20240529_0001_lf6.jpg,temp,16,39.37007874,NY_65,11,NYC,6,3,482,93,33.5,91.5,aa,0.03791363340008981,0.0014530959348153577,1.1493851836432483,3.6646431978166283,2.0741966465579935,0.7736823500266344,0.013659331496001457,0.3333864971063001,0.31391508977177207,0.013464617478247188,0.017089497951168788,-0.008997265743824872,0.011135748880922138,0.4
6,11.154_15_16_rep3_20240529_0001_lf7.jpg,temp,16,39.37007874,NY_65,11,NYC,7,3,476,105,37.5,109.5,aa,0.08462441429050709,-0.03355567593800351,1.2179002376616108,3.663640865876736,2.2539316625741037,0.7629577182704987,0.016662037793197363,0.32125998321836563,0.33160893661819923,0.01196672564719674,-0.01594185356233222,0.0047452134106307385,0.022781572696538153,0.4666666666666667
7,11.154_15_16_rep3_20240529_0001_lf8.jpg,temp,16,39.37007874,NY_65,11,NYC,8,3,470,90,36.5,103.5,aa,0.04401926323738589,0.00669858288612878,1.353980984866809,3.6561468068303737,2.3948187583247176,0.7802340941897663,0.01962826767979719,0.31570066285965787,0.3680816331376058,0.04101110663040768,-0.057522294624440036,-0.01129132782633262,-0.010497179956445042,0.5333333333333333
8,11.154_15_16_rep3_20240529_0001_lf9.jpg,temp,16,39.37007874,NY_65,11,NYC,9,3,475,102,35.5,100.5,aa,0.10783261340536894,0.06969988381088017,1.4015909667406603,3.6583761407851902,2.686076008061846,0.7830146775759824,0.0350750268594702,0.28233469131801003,0.3860014097362115,0.04688446047338245,0.041273321158690604,0.030268978154687074,-0.04305190770251765,0.6
9,11.154_15_16_rep3_20240529_0001_lf10.jpg,temp,16,39.37007874,NY_65,11,NYC,10,3,472,101,33.5,117.5,aa,0.10841764676296867,-0.007441668591323318,1.3052662257041183,3.612991695333305,2.3621765595533333,0.7610308192696932,0.02190292721770945,0.26065335239391885,0.36294635701105804,0.020771602140716217,0.0169951565797801,0.0327060431682125,-0.01878518250237422,0.6666666666666666
